isolation_environment,n_entries,n_species,n_plastics
Culture collection,501,271,31
Soil,474,225,36
Plastic waste dumping site,135,69,18
Landfill,109,70,13
Marine,99,55,24
Coastline,89,76,1
Compost,70,40,15
Dry zone forest reserve,68,18,1
Plant associated,54,28,13
Sewage/Sludge,45,30,14
Animal associated,44,29,8
Polluted intertidal region,31,7,4
River/Lake,29,18,11
Dumping site,23,13,3
Mangrove,21,15,5
Garbage dump,21,10,6
Sea shore,13,10,4
Hot spring,13,6,7
Others,11,7,9
Arctic shore,9,6,3
River,9,5,2
Groundwaters,8,8,1
Mairne,7,5,4
Plastic contaminated vegetable field,7,7,1
Plastic-waste contaminated soil,6,2,6
Mangrove forest at Red Sea shore,6,3,1
Garbage Dump,5,3,3
Near mangroves,4,2,1
Water,3,3,2
Mangrove soil,3,3,1
Petroleum seeps,3,2,1
Solid waste disposal area,3,3,1
Seawater,3,2,1
Sewage canal,2,2,1
Oil spillage site,2,1,1
Industrial plastic facility,2,2,1
Intertidal,2,1,1
Hydrocarbon-contaminated environments,2,2,1
Waste transfer station,2,2,1
Deep sea,1,1,1
Compost heap,1,1,1
Lake,1,1,1
Recycling plant,1,1,1
Sewage,1,1,1
Soybean fermented foods,1,1,1
